Instance,Algorithm,P1_Name,P1_Val,P2_Name,P2_Val,BestCost,Evaluations,TimeMicros
data\chr20c.dat,TS,P_Factor,2,Tenure_Factor,10,23058,26524,3967
data\chr20c.dat,TS,P_Factor,2,Tenure_Factor,4,15106,36898,5576
data\chr20c.dat,TS,P_Factor,2,Tenure_Factor,2,21012,24966,3805
data\chr20c.dat,TS,P_Factor,5,Tenure_Factor,10,16220,40926,6112
data\chr20c.dat,TS,P_Factor,5,Tenure_Factor,4,16524,74860,11345
data\chr20c.dat,TS,P_Factor,5,Tenure_Factor,2,16902,63004,9510
data\chr20c.dat,TS,P_Factor,10,Tenure_Factor,10,17562,150860,22809
data\chr20c.dat,TS,P_Factor,10,Tenure_Factor,4,15792,163856,25587
data\chr20c.dat,TS,P_Factor,10,Tenure_Factor,2,15478,177574,27206
data\chr20c.dat,TS,P_Factor,20,Tenure_Factor,10,16718,298376,49194
data\chr20c.dat,TS,P_Factor,20,Tenure_Factor,4,18964,210254,31824
data\chr20c.dat,TS,P_Factor,20,Tenure_Factor,2,18754,286672,44901
data\chr20c.dat,SA,Alpha,0.8,L_Factor,2,17624,15200,2041
data\chr20c.dat,SA,Alpha,0.8,L_Factor,5,22486,38000,5065
data\chr20c.dat,SA,Alpha,0.8,L_Factor,8,21554,54720,8388
data\chr20c.dat,SA,Alpha,0.85,L_Factor,2,18964,20520,2729
data\chr20c.dat,SA,Alpha,0.85,L_Factor,5,17376,42750,5620
data\chr20c.dat,SA,Alpha,0.85,L_Factor,8,16812,65360,8765
data\chr20c.dat,SA,Alpha,0.9,L_Factor,2,24058,26220,3440
data\chr20c.dat,SA,Alpha,0.9,L_Factor,5,17044,69350,9165
data\chr20c.dat,SA,Alpha,0.9,L_Factor,8,17558,94240,13008
data\chr20c.dat,SA,Alpha,0.95,L_Factor,2,20832,34200,4537
data\chr20c.dat,SA,Alpha,0.95,L_Factor,5,17822,92150,12265
data\chr20c.dat,SA,Alpha,0.95,L_Factor,8,17174,139840,18535
data\chr20c.dat,SA,Alpha,0.99,L_Factor,2,18710,170240,24027
data\chr20c.dat,SA,Alpha,0.99,L_Factor,5,15394,440800,59669
data\chr20c.dat,SA,Alpha,0.99,L_Factor,8,14844,680960,92604
data\chr20c.dat,TS,P_Factor,1,Tenure_Factor,10,16292,15656,2407
data\chr20c.dat,TS,P_Factor,1,Tenure_Factor,4,19152,15504,2340
data\chr20c.dat,TS,P_Factor,1,Tenure_Factor,2,15744,12122,1811
data\chr20c.dat,TS,P_Factor,2,Tenure_Factor,10,24444,29868,4865
data\chr20c.dat,TS,P_Factor,2,Tenure_Factor,4,29972,16530,2559
data\chr20c.dat,TS,P_Factor,2,Tenure_Factor,2,16588,35568,5382
data\chr20c.dat,TS,P_Factor,5,Tenure_Factor,10,19614,59090,9557
data\chr20c.dat,TS,P_Factor,5,Tenure_Factor,4,16986,148200,30154
data\chr20c.dat,TS,P_Factor,5,Tenure_Factor,2,20524,74974,25484
data\chr20c.dat,TS,P_Factor,10,Tenure_Factor,10,20568,133456,129547
data\chr20c.dat,TS,P_Factor,10,Tenure_Factor,4,20572,135850,43526
